"SITEID","SITENAME","SITEDESCRI","SITETYPE","SITESTATUS","POSTCODE","DIRECTIONS","W3W","X","Y","CATEGORY"
"14377","NAILSEA","1A BUCKLANDS END","Private Sewage Pumping Station","In Use","BS48 4PN","NOTE THIS IS A SINGLE PROPERTY PRIVATE PUMPING STATION.","TBA","347660","169579","Waste"
"14378","BRIDGWATER","BLAKE GARDENS","Sewage Pumping Station","In Use","TA6 3NX","FROM BROADWAY, TURN LEFT INTO OLD TAUNTON ROAD, TURN LEFT BY NO 65, PUMPING STATION IS BEHIND HOUSE","pebble.overheard.amends","330127","136799","Waste"
"14379","FIDDINGTON",".","Sewage Pumping Station","In Use","TA5 1JG","A39 BRIDGWATER TO CANNINGTON AND ON FOR JUST OVER 4KM THEN TURN RIGHT TO FIDDINGTON CHURCH. 100M BEYOND THE CHURCH THE ROAD TURN90 DEGREES LEFT. THE PS IS ON THE RIGHT BETWEEN THIS BEND AND A STREAM.","newsstand.imagined.ounce","321738","140649","Waste"
"14380","NORTH NEWTON","CHURCH ROAD","Sewage Pumping Station","In Use","TA7 0BG","TAKE A38 SOUTH THROUGH NORTH PETHERTON. JUST PAST CENTRE OF N.PETHERTON, TURN LEFT IMMEDIATELY BEFORE PLAYING FIELD. FOLLOW ROAD TO NORTH NEWTON, TURN LEFT AT THE HARVEST MOON PUB. ON LEFT APPPROX 100 METERS PAST CHURCH ENTRANCE, PS WILL BE SEEN.","draining.bonds.limits","330195","131088","Waste"
"14381","WESTONZOYLAND",".","Sewage Pumping Station","In Use","TA7 0HP","FROM BRIDGWATER TO WESTONZOYLAND ON THE A372 ON THE OUTSKIRTS OF THE VILLAGE TURN LEFT JUST BEFORE THE CEMETRY ON THE RIGHT 300M ALONG DROVE TURN RIGHT INTO WORKS","nightcap.nicely.curvy","334654","135213","Waste"
"14382","BAWDRIP",".","Sewage Pumping Station","In Use","TA7 8QE","A39 FROM BRIDGWATER PAST CELLOPHANE FACTORY. ABOUT 900 METRES AFTER CROSSING MOTORWAY TURN RIGHT ALONG BRADNEY LANE. PAST THE NRA DEPOT AND 250 METRES BEYOND THE KINGS SEDGEMOOR DRAIN THE PS IS ON YOUR RIGHT WHERE THE ROAD BENDS SHARP LEFT.","monk.marine.budgeted","334149","139442","Waste"
"14383","COMBWICH","BROOKSIDE","Sewage Pumping Station","In Use","TA5 2QL","A39 BRIDGWATER TO COMBWICH VILLAGE. GO THROUGH THE VILLAGE PAST THE GROCERY SHOP. APPROX 50 METRES PAST THIS SHOP THERE IS A GRAVEL TRACK WHICH FORKS RIGHT FROM THE ROAD. THE GREEN CONTROL KIOSK OF THE PUMPING STATION CAN BE SEEN HERE.","subsystem.mingles.televise","325868","142128","Waste"
"14384","BRIDGWATER","CHILTON STREET SALTLANDS","Sewage Pumping Station","In Use","TA6 3JH","AT BATH ROAD ROUNDABOUT GO UP THE CLINK AND CROSS RIVER PARRETT. GO RIGHT AT TRAFFIC LIGHTS JUST PAST THE BAILY BRIDGE IN THE DOCKS YOU COME TO A ROAD JUNCTION. CARRY ON TO LEFT TOWARD CHILTON TRINITY JUST PAST THE BRITISH FLAG PUB, TAKE A RIGHT TURN TOW","funny.climate.baguette","329846","138151","Waste"
"14385","BRIDGWATER","BRISTOL ROAD","Sewage Pumping Station","In Use","TA6 4LF","FROM BRIDGEWATER TAKE A38 BRISTOL ROAD PUMPING STATION ON LEFT NEXT TO ALBANY TYRES. REF: 2070 KSC SRW (ABLOY)","awoke.state.clutter","330669","138471","Waste"
"14386","GREINTON","MOOR DRIVE","Sewage Pumping Station","In Use","TA7 9BW","A361 FROM TAUNTON THROUGH OTHERY TO GREINTON AS YOU ENTER THE VILLAGE THE ROAD BENDS SHARP LEFT. IMMEDIATELY ON THIS BEND THERE IS A LANE ON THE RIGHT ALONGSIDE A LARGE CATTLE BURE TAKE THIS LANE AND THE STATION IS ON YOUR RIGHT AFTER ABOUT 100 METR","remembers.ashes.reshape","341214","136252","Waste"
"14387","SHARPNESS","DOCKS WEST","Sewage Pumping Station","In Use","GL13 9UQ","JUNCTION 14 OFF M5 BERKELEY / THORNBURY TURNING 200 METRES TURN RIGHT AT JUNCTION 4 MILES ON LEFT TOWARDS BERKELEY - TAKE SHARPNESS TURNING ON ROUNDABOUT - ACROSS 2ND ROUNDABOUT. KEEP STRAIGHTON INTO DOCKS - LEFT, PUMPING STATION ON RIGHT AT SIDE OF ROAD","learn.broke.crunched","366915","202040","Waste"
"14388","BERKELEY","PARK VIEW ROAD","Sewage Pumping Station","In Use","GL13 9TB","ENTER BERKELEY STRAIGHT AHEAD UNTIL MARINERS ARMS ON LEFT, NEXT TURN LEFT IS PARK VIEW ROAD. LEFT INTO COUNCIL ESTATE GREEN ON RIGHT. 50 METRES DOWN HILL. ACCESS BETWEEN HOUSES FACING - TURN RIGHT. PUMPING STATION 100 METRES ON RIGHT.","fortress.joins.tinny","367907","199185","Waste"
"14389","TAUNTON","PRIORY STORM TANKS","Sewage Pumping Station","In Use","TA1 2AL","FROM JUNCTION 25 OF M5 GO TOWARDS TAUNTON PAST CREECH CASTLE. GO STRAIGHT AHEAD ON DUAL CARRIAGEWAY. AT NEXT ROUNDABOUT GO RIGHT ROUND TO GO IN OPPOSITE DIRECTION ON DUAL CARRIAGEWAY. TAKE FIRST LEFT, STORM TANKS ARE DOWN TRACK ON RIGHT JUST PAST TURNING","shut.digs.tins","323818","125497","Waste"
"14390","TAUNTON","SILK MILLS","Sewage Pumping Station","In Use","TA1 5AA","FROM TAUNTON GO TO STAPLEGROVE. JUST BEFORE CROSS KEYS TURN LEFT AT ROUNDABOUT AND HEAD TOWARDS BISHOPS HULL. IMMEDIATELY YOU GO OVER THE LEVEL CROSSING TURN RIGHT ALONGSIDE THE RAILWAY. THE PUMPING STATION IS JUST OVER 100 METRES AHEAD.","prop.audio.beats","320419","125642","Waste"
"14391","STOKE ST GREGORY","NO 1 LANE END","Sewage Pumping Station","In Use","TA3 6HZ","ON A361 FROM OTHERY GO TO BURROWBRIDGE. JUST PAST THE RIVER PARRETT TURN LEFT THEN TAKE FIRST RIGHT TO ATHELNEY. FOLLOW THIS ROAD THROUGH ATHENEY OVER LEVEL CROSSING THROUGH CURLOAD. AT THE T JUNCTION TURN RIGHT. STOKE ST GREGORY SPS IS ON THE RIGHT AFTE","expecting.costumed.nappy","334015","127215","Waste"
"14392","WEST BUCKLAND",".","Sewage Pumping Station","In Use","TA21 9NA","A38 FROM TAUNTON TOWARDS WELLINGTON. TURN LEFT AT HEATHERTON GRANGE HOTEL TO WEST BUCKLAND. JUST BEFORE ENTERING VILLAGE ON LEFTIS A DROVE. FOLLOW THIS DROVE FOR HALF-A-MILE SPS WILL BE SEEN ON LEFT.","uncouth.resembles.stint","317750","120760","Waste"
"14393","HILLFARRANCE",".","Sewage Pumping Station","In Use","TA4 1AW","TAKE B3227 FROM TAUNTON TOWARD MILVERTON. JUST AS YOU COME TO HILLCOMMON, TURN LEFT (SIGNED OAKE) TAKE THIRD RIGHT TO HILLFARANCE TURN RIGHT INTO A TRACK JUST BEFORE THE CHURCH AND FOLLOW IT TO FIELD KEEPING TO LEFT","prevented.reclaim.solution","316732","124556","Waste"
"14394","WELLINGTON","MITCHELLS POOL","Sewage Pumping Station","In Use","TA21 9EX","A38 FROM TAUNTON TO ROUNDABOUT BEFORE M5 JUNCTION AT CHELSTON. TURN RIGHT TOWARDS WELLINGTON. JUST BEFORE PRIMARY SCHOOL ON EDGEOF TOWN . TURN LEFT INTO PRIORY. TAKE FIRST RIGHT THEN SECOND LEFT INTO GAY STREET. AFTER LILLEBONNE CLOSE ON LEFT IS A PARKIN","grief.standing.risking","314533","120876","Waste"
"14395","HATCH BEAUCHAMP",".","Sewage Pumping Station","In Use","TA3 6AE","","cosmetic.remaking.paraded","330524","120010","Waste"
"14396","OVER COMPTON",".","Sewage Pumping Station","In Use","DT9 4QJ","OFF OVER COMPTON TO NETHER COMPTON ROAD BEHIND GLEBE FARM.","legroom.sensual.contact","359489","117409","Waste"
"14397","BEER HACKETT",".","Sewage Pumping Station","In Use","DT9 6QR","ADJACENT TO OLD RECTORY.","trams.earlobe.interests","359852","111719","Waste"
"14398","OWERMOIGNE","CROSSWAYS ROAD","Sewage Pumping Station","In Use","DT2 8HZ","TAKE ROAD NORTH THROUGH VILLAGE OFF A352. PUMPING STATION ON LEFT-HAND SIDE (1.5 MILES) HEADING TOWARDS CROSSWAYS.","wonderful.tactical.staples","376856","86412","Waste"
"14399","OSMINGTON MILLS",".","Sewage Pumping Station","In Use","DT3 6HF","ADJACENT&nbsp;SMUGGLERS INN. SPS AND&nbsp;CONTROL PANEL&nbsp;IN GROUNDS OF PUB. GENERATOR LOCATED ADJACENT TO TOILET BLOCK AT TURNING CIRCLE.","stumpy.retraced.calm","373546","81724","Waste"
"14400","BROADMAYNE","BROADMAYNE","Sewage Pumping Station","In Use","DT2 8HD","LEAVING BROADMAYNE FROM OWERMOIGNE, TURN LEFT INTO BAKER PADDOCK. FOLLOW FOR 150 METRES AND SPS IS ON LEFT BEHIND GARAGE BLOCK.","decanter.truckload.shelters","373120","86554","Waste"
"14401","STOKE ST GREGORY","BROOMFIELD PARK","Sewage Pumping Station","Unadopted","TA3 6FE","","TBA","334771","127369","Waste"
"14402","OSMINGTON","PONTINS","Sewage Pumping Station","In Use","DT3 6EG","IN OLD PONTINS HOLIDAY CAMP SITE. SPS IS NEAR OUTDOOR ACTIVITY AREA/ GO KART TRACK. CONTACT OSMINGTON HOLIDAY PARK FOR PLANNED SITE VISITS ON 01305 837010.","announced.strutting.airship","372010","82048","Waste"
"14403","TOLLER PORCORUM","LOWER ROAD","Sewage Pumping Station","In Use","DT2 0DH","LOWER ROAD, TOLLER PORCORUM. NEAR VILLAGE CENTRE.","relished.decide.fended","356397","97961","Waste"
"14404","BEAMINSTER","SOUTHGATE","Sewage Pumping Station","In Use","DT8 3LX","BEAMINSTER - BRIDPORT ROAD ADJACENT TO POLICE HOUSES.","enchanted.thing.disband","348004","100935","Waste"
"14405","WEST STAFFORD","DORCHESTER ROAD","Sewage Pumping Station","In Use","DT2 8AB","FROM DORCHESTER TAKE A352 TO WEST STAFFORD. TURN OFF AND FOLLOWSIGNS FOR VILLAGE. JUST BEFORE ENTERING VILLAGE, PUMPING STATIONIS ON THE RIGHT-HAND SIDE.","parsnip.seemingly.fried","372517","89711","Waste"
"14406","MAIDEN NEWTON","FROME LANE","Sewage Pumping Station","In Use","DT2 0BS","TURN SOUTH OFF A356 IN CENTRE OF TOWN DOWN FROME LANE. PUMPING STATION IS ON RIGHT-HAND SIDE.","evolving.hammocks.trumped","359802","97540","Waste"
"14407","STRATTON","STRATTON BRIDGE","Sewage Pumping Station","In Use","DT2 9RS","TAKE THE A356 YEOVIL ROAD FROM DORCHESTER. AS YOU APPROACH THE VILLAGE OF STRATTON THE ROAD SPLITS INTO LEFT/RIGHT CARRAGES AND THEN GOES UNDER A BRIDGE. THE SPS IS BESIDE THIS BRIDGE ON THE YEOVIL SIDE.","applies.walked.distracts","365733","93532","Waste"
"14408","BRADFORD PEVERELL","MR SOFTIES","Sewage Pumping Station","In Use","DT2 9TL","AT GILES CROSS HEADING TOWARDS THE VILLAGE CENTRE ON THE DORCHESTER - BRADFORD PEVERELL ROAD. PUMPING STATION RIGHT-HAND SIDE.","gullible.dribble.rainbow","366073","92978","Waste"
"14409","BURTON BRADSTOCK","BURTON FRESHWATER","Sewage Pumping Station","In Use","DT6 4PT","IN GROUNDS OF FRESHWATER CARAVAN PARK ON LEFT-HAND SIDE OFF THE B3157 BURTON BRADSTOCK TO WEST BAY. (TO THE REAR OF THE RECEPTION BLOCK.)","managed.demoted.nerd","347968","89817","Waste"
"14410","BURTON BRADSTOCK","BURTON SOUTHOVER","Sewage Pumping Station","In Use","DT6 4RD","FROM WEYMOUTH ON THE B3157 ENTER BURTON BRADSTOCK. AS YOU ENTER THE VILLAGE THERE IS A GARAGE, TAKE THE 1ST LEFT BESIDE THE GARAGE AND THEN 1ST RIGHT. FOLLOW THIS ROAD TO A DEAD END. THE SPS WILL BE ON YOUR RIGHT.","misted.giants.credit","348489","89332","Waste"
"14411","SYDLING ST NICHOLAS",".","Sewage Pumping Station","In Use","DT2 9NS","PUMPING STATION OFF SYDLING ST NICHOLAS TO DORCHESTER ROAD. SOUTH OF VILLAGE NEAR HUISH FARM.","envy.maybe.blackmail","363219","98908","Waste"
"14412","PUDDLETOWN","BLANDFORD ROAD","Sewage Pumping Station","In Use","DT2 8TE","FROM THE TRAFFIC LIGHTS TAKE THE BLANDFORD ROAD. SPS IS ABOUT FIFTY YARDS PAST BLUE VINNY PUB ON THE RIGHT.","applauded.eagle.ownership","375730","94728","Waste"
"14413","CHIDEOCK","SEATOWN","Sewage Pumping Station","In Use","DT6 6JX","TURN LEFT OFF BRIDPORT TO EXETER ROAD (A35) AT CHIDEOCK OPPOSITE THE CHURCH, SIGNPOSTED "THE SEA".. FOLLOW NARROW ROAD UNTIL BEACH OPENS OUT IN FRONT OF YOU. SPS IS ON THE LEFT AS YOU GO DOWN THIS LAST PART.","balancing.rave.roughest","342095","91797","Waste"
"14414","CHARMINSTER","NORTH STREET","Sewage Pumping Station","In Use","DT2 9RE","LEAVE DORCHESTER ON THE A356 YEOVIL ROAD. AFTER ROUNDABOUT TAKE 1ST RIGHT FOR CHARMINSTER. SPS IS ON RIGHT 100 METRES FROM MAIN ROAD.","topics.class.next","367685","92434","Waste"
"14415","LITTON CHENEY","CHICKSBRIDGE","Sewage Pumping Station","In Use","DT2 9DH","AT CHICKSBRIDGE ON PUNCKNOWLE TO LITTLE CHENEY ROAD, NEAR FOUR MEADOWS.","remembers.summer.deaf","354068","89734","Waste"
"14416","MINEHEAD","MART ROAD","Sewage Pumping Station","In Use","TA24 5AU","GO TOWARDS MINEHEAD SEA FRONT DOWN THE AVENUE. TURN INTO GLENMORE JUST BEFORE RAILWAY STATION. TURN LEFT INTO MART ROAD. AT SHARP RIGHT HAND BEND PUMPING STATION IS STRAIGHT AHEAD NEXT TO BRADFORDS.","windpipe.accent.bachelor","297626","146166","Waste"
"14417","DUNSTER","DUNSTER BEACH","Sewage Pumping Station","In Use","TA24 6PJ","TAKE A39 FROM BRIDGWATER TO MINEHEAD OPPOSITE THE TURNING TO DUNSTER CASTLE TURN RIGHT AND FOLLOW SIGNS TO DUNSTER BEACH TURN LEFT PUMPING STATION IS AT THE END OF THE LANE IN BETWEEN THE BEACH HOUSES","snares.reservoir.quality","299768","145283","Waste"
"14419","MINEHEAD","GREEN SPOT","Sewage Pumping Station","Out of Service","TA24 5BG","DRIVE TOWARDS MINEHEAD SEA FRONT ALONG THE AVENUE. GREENSPOT IS ON THE LEFT AT THE END OF THE ESPLANADE. THE STATION IS UNDER HEAVY MANHOLE COVERS TO THE LEFT OF THE BUS SHELTER","anchors.receive.strapping","297439","146392","Waste"
"14420","MINEHEAD","QUAY WEST","Sewage Pumping Station","In Use","TA24 5UP","G TO MINEHEAD SEA FRONT VIA THE AVENUE. TURN LEFT AND FOLLOW THE ESPLANADE TO QUAY STREET AND PAST HARBOUR. JUST BEFORE CAR PARK THE PUMPING STATION IS UNDER MANHOLE COVERS OPPOSITE PUBLIC TOILETS.","sounds.quality.reclined","297012","147159","Waste"
"14421","CUTCOMBE",".","Sewage Pumping Station","In Use","TA24 7AJ","A396 FROM DUNSTER JUST OVER 2 MILES PAST TIMBERSCOMBE THE ROAD CLIMBS UP FOR OVER A MILE AS YOU APPROACH WHEDDON CROSS THE ROADLEVELS OUT AND YOU TAKE THE FIRST ON THE LEFT (A VERY SHARP CUT BACK ABOUT 60 YARDS SHORT OF THE CROSS ROADS) GO PAST THE SCHOO","tolerable.perfected.cardinal","293035","139059","Waste"
"14422","SHURTON",".","Sewage Pumping Station","In Use","TA5 1QE","TURN RIGHT OFF A39 THROUGH FIDDINGTON AND STOGURSEY TO SHURTON AND TURN LEFT NEXT TO SHURTON INN. PS IS NEXT TO INN.","deaf.lyricism.technical","320401","144411","Waste"
"14423","BLUE ANCHOR","PILL BRIDGE","Sewage Pumping Station","In Use","TA24 6JS","TAKE THE A39 FROM BRIDGWATER TO MINEHEAD JUST PAST THE VILLAGE OF CARHAMPTON TURN RIGHT TO BLUE ANCHOR. PUMPING STATION IS ON THE RIGHT HAND SIDE NEXT TO THE PUBLIC CONVENIENCES ON THE SEA FRONT.","quintet.ladders.unpacked","302756","143491","Waste"
"14424","FARRINGDON",".","Sewage Pumping Station","In Use","TA5 1TL","TAKE THE ROAD FROM CANNINGTON PAST COMBWICH AND COCKWOOD. JUST UNDER 2KM BEYOND COCKWOOD TURN LEFT ABOUT 100 METRES ALONG THE ROAD ON YOUR LEFT IS A GYPSY ENCAMPMENT. DRIVE PAST THE BARRIER INTO THE CAMP. THE PUMPING STATION IS IN 2 HUTS ON YOUR LEFT.","contained.limes.pads","321665","144015","Waste"
"14425","CLUTTON","GREENBROOK","Sewage Pumping Station","In Use","BS39 5SS","TAKE THE A37 FROM BRISTOL TOWARDS CLUTTON. ON ENTERING CLUTTON VILLAGE TURN LEFT OPPOSITE THE COUNCIL DEPOT. PROCEED THROUGH THE VILLAGE, ABOUT 100 YARDS PAST THE RAILWAY INN THERE IS A FIVE BAR GATE OPPOSITE A COAL YARD.THE P/S IS THROUGH THIS GATE","stylists.greeting.former","362675","158996","Waste"
"14426","PAULTON","GOOSARD BRIDGE","Sewage Pumping Station","In Use","BS39 6JT","A39 FROM BATH, HALFWAY THROUGH HIGH LITTLETON TURN LEFT FOR TIMSBURY, THEN TAKE FIRST RIGHT GOOSARD LANE, PROCEED TO BOTTOM OF HILL, PS ENTRANCE IS ABOUT 30 YDS ON LHS BEFORE BRIDGE.","mimics.looked.handover","365502","157735","Waste"
"14427","HALLATROW",".","Sewage Pumping Station","In Use","BS39 6EE","A39 FROM BATH THROUGH HIGH LITTLETON INTO HALLTROW, ON LHS OF ROAD ABOUT 50 YDS FROM BRIDGE AT BOTTOM OF HILL THERE IS A TURNING BETWEEN BUNGALOWS, PS AT END ON RIGHT.","envy.paintings.guitar","363971","157283","Waste"
"14428","CORSTON","NEWTON ST LOE","Sewage Pumping Station","In Use","BA2 9BD","TRAVEL OUT OF BATH ON THE A4 TOWARDS BRISTOL, PS IS ON LHS APPROX 150 YDS PAST THE GLOBE PUB ROUNDABOUT AT END OF DUAL CARRIAGEWAY.","steaming.conjured.memory","369885","165559","Waste"
"14429","CHEW STOKE","BILBIE ROAD","Sewage Pumping Station","In Use","BS40 8XW","ON THE A37 BRISTOL TO WELLS ROAD TAKE THE B3130 TO CHEW MAGNA. GO THROUGH CHEW MAGNA THEN TAKE A LEFT ON THE B3114 FOR CHEW STOKE. GO PAST THE SCHOOL AND INTO CHEW STOKE. BEAR LEFT AT WALLYCOURT ROAD THEN TAKE THE SECOND TURN ON THE LEFT INTO BILBIE ROAD","shuffles.hang.rant","356112","161768","Waste"
"14430","CHEW MAGNA","DUMPERS LANE","Sewage Pumping Station","In Use","BS40 8SU","ON THE A37 BRISTOL TO WELLS ROAD TAKE THE B3130 TURNING FOR CHEW MAGNA. ON ENTERING CHEW MAGNA VILLAGE TAKE A VERY SHARP LEFT TURN BY THE ESTATE AGENTS. GO OVER THE BRIDGE THEN TURN IMMEDIATELY RIGHT INTO DUMPERS LANE. THE P/S IS ABOUT 50YDS DOWN ON THE","audit.chess.rent","357605","162902","Waste"
"14431","BISHOP SUTTON",".","Sewage Pumping Station","In Use","BS39 5TY","TAKE THE A368 FROM BRISTOL. ONCE IN BISHOP SUTTON TAKE THE 2ND RIGHT INTO HAM LANE. THE P/S IS A 1/4 MILE DOWN HAM LANE ON THE LEFT. WHEN LEAVING THE P/S TURN RIGHT AS THIS IS A ONE WAY LANE WHICH WILL TAKE YOU BACK TO THE A368.","pounds.provoking.issued","358284","160143","Waste"
"14432","COMPTON DANDO","TURNBRIDGE","Sewage Pumping Station","In Use","BS39 4LQ","THROUGH GATE ADJACENT TO TURNBRIDGE REAR OF HOUSES 'CULVERHAY'","singer.drum.horses","364737","164674","Waste"
"14433","DILTON MARSH","CLIVEY","Sewage Pumping Station","In Use","BA13 4BD","FOLLOW THE B3099 FROM DILTON MARSH TO STANDERWICK TO THE BOTTOM OF THE HILL. THE WORKS IS OPPOSITE STABLES AND A TURNPIKE HOUSE.","cooked.flesh.wounds","383824","150031","Waste"
"14434","EDINGTON","INMEAD","Sewage Pumping Station","In Use","BA13 4QR","TAKE B3098 FROM WESTBURY, ENTER EDINGTON VILLAGE, TURN 2ND LEFT,TAKE 1ST LEFT, THEN 1ST RIGHT INTO INMEAD PUMPING STATION AT END OF NO THROUGH ROAD ON LEFT.","slices.demotion.awestruck","392368","153425","Waste"
"14435","WARMINSTER","BOREHAM ROAD","Sewage Pumping Station","In Use","BA12 9HG","LEAVE WARMINSTER ON A36 SALISBURY ROAD. 2 MILES FROM TOWN CENTRE PUMPING STATION IS ON RIGHT IN FIELD NEXT TO RIVER. 100M PAST CROSSROADS.","rebounds.importers.flirts","389200","144191","Waste"
"14436","DILTON MARSH","FAIRHAVEN","Sewage Pumping Station","In Use","BA13 3TH","TAKE THE B3099 FROM DILTON MARSH TOWARDS WESTBURY. GO UNDER THE RAILWAY BRIDGE AND THEN IMMEDIATELY TURN LEFT ONTO FAIRWOOD ROAD. TURN RIGHT ONTO FAIRHAVEN. THE SPS IS AT THE BOTTOM OF THE CUL-DE-SAC.","frostbite.supplier.contrived","385709","150260","Waste"
"14437","WARMINSTER","PORTWAY","Sewage Pumping Station","In Use","BA12 8RH","FROM THE CENTRE OF WARMINSTER GO ALONG THE A350 TROWBRIDGE ROAD.AFTER APPROX 100 YARDS TURN LEFT INTO NEWPORT THEN TAKE THE NEXTLEFT-HAND TURN AND THE PUMPING STATION IS ON THE RIGHT.","proudest.badge.hostels","387249","145364","Waste"
"14438","UPTON SCUDAMORE",".","Sewage Pumping Station","In Use","BA12 0AH","LEAVE WESTBURY ON A350 WARMINSTER ROAD. TRAVEL 2 MILES. TURN RIGHT TO UPTON SCUDAMORE. TAKE FIRST LEFT AFTER 200 YDS TRAVEL TO END OF ROAD ADJ COUNCIL HOUSES. WALK TO P.S WHICH IS SITUATED BEHIND COUNCIL HOUSES.","barn.regular.ultra","386341","147461","Waste"
"14439","WARMINSTER","CALVESWATER","Sewage Pumping Station","In Use","BA12 9LH","FROM WARMINSTER STW GO BACK TO THE ROAD, TURN RIGHT, FOLLOW THISROAD FOR ABOUT 1 MILE, THE PUMPING STATION IS ON THE LEFT IN A FIELD.","proven.sonic.hits","387966","144158","Waste"
"14440","DILTON MARSH","PEN KNAPP","Sewage Pumping Station","In Use","BA13 3SP","LEAVE WESTBURY ON A3098 FROME ROAD. PASS THROUGH WESTBURY LEIGH.CROSS RIVER BRIDGE. PUMPING STATION IS ON RIGHT-HAND SIDE IMMEDIATELY AFTER BRIDGE AT JUNC. OF B3099 AND A3098.","astounded.surveyors.fluctuate","385830","149766","Waste"
"14441","WARMINSTER","BISHOPSTROW","Sewage Pumping Station","In Use","BA12 9HN","FROM BOREHAM CROSSROADS GO ALONG THE B3095, AND IN BISHOPSTROW VILLAGE TAKE THE FIRST LEFT INTO CHURCH LANE. THE PUMPING STATIONIS ON THE RIGHT HALF WAY DOWN THIS LANE.","additives.munched.jazz","389422","143751","Waste"
"14442","WESTBURY","HAWKERIDGE PARK","Sewage Pumping Station","In Use","BA13 4HH","LEAVE WESTBURY ON A3098. TURN RIGHT ONTO DILTON MARSH ROAD. PASS UNDER RAIL BRIDGE, TAKE FIRST RIGHT. PUMPING STATION IS ON RIGHT AT END OF HOUSES.","gates.vowel.meatballs","386114","152510","Waste"
"14443","DILTON MARSH","ST MARYS LANE","Sewage Pumping Station","In Use","BA13 4BL","LEAVE WESTBURY ON A3098. TURN RIGHT INTO DIlTON MARSH ROAD. PASSUNDER RAIL BRIDGE. TAKE FIRST RIGHT. PUMPING STATION IS ON THE RIGHT AT THE END OF THE HOUSES.","blindfold.suitcase.genius","384859","150115","Waste"
"14444","WINGFIELD","CHURCH LANE","Sewage Pumping Station","In Use","BA14 9LW","TAKE A366 FROM TROWBRIDGE TO RADSTOCK AFTER APPROX 2.5 MILES TURN LEFT AT THE CROSSROADS IN WINGFIELD. AFTER 400 YARDS TURN LEFT INTO CHURCH LANE. AT THE END OF CHURCH LANE THE PUMPING STATION IS IN FIELD ON LEFT-HAND SIDE.","dose.sketch.fire","382526","156801","Waste"
"14445","WINGFIELD","WINGFIELD COMMON","Sewage Pumping Station","In Use","BA14 9LG","A366 TROWBRIDGE TO RADSTOCK, AFTER 2.5 MILES TURN RIGHT ONTO B3109 TO BRADFORD ON AVON, PUMPING STATION ON LEFT HAND SIDE IN LAYBY 100 YDS FROM JUNCTION.","packet.froze.beans","382126","157447","Waste"
"14446","WINGFIELD","POMEROY LANE","Sewage Pumping Station","In Use","BA14 9LJ","TAKE THE A366 FROM TROWBRIDGE TO RADSTOCK. AFTER APPROX 2.5 MILES TURN LEFT AT THE CROSSROADS IN WINGFIELD AND THEN RIGHT INTO POMEROY LANE. THE PUMPING STATION IS ABOUT 1/2 MILE DOWN POMEROY LANE ON THE RIGHT-HAND SIDE.","really.raced.ruler","381736","156966","Waste"
"14447","KEEVIL","THE STREET","Sewage Pumping Station","In Use","BA14 6NE","TAKE A550 FROM SEMINGTON. ROUNDABOUT TO WESTBURY. 1.5 MILES TURNLEFT AT TOP OF HILL. 1/4 MILE TURN LEFT TO KEEVIL AT CROSS ROADSPASS THROUGH KEEVIL.PUMPING STATION ON LEFT JUST OUTSIDE VILLAGE","indicate.ghosts.falls","392346","158224","Waste"
"14448","LIMPLEY STOKE","CROWE HILL","Sewage Pumping Station","In Use","BA3 6XR","LEAVE BRADFORD ON B3108 WINSEY ROAD. THROUGH WINSEY TO LIMPLEY STOKE, OVER RIVER BRIDGE, UNDER RAIL BRIDGE, TURN IMMEDIATE LEFTTRAVEL APPROX 1/2 MILE. PUMPING STATION ON LEFT DOWN A TRACK WHICH PASSES UNDER RAIL BRIDGE. PUMPING STATION ON LEFT IN GARDEN","ears.closet.radio","378302","160809","Waste"
"14449","WESTWOOD","UPPER WESTWOOD","Sewage Pumping Station","In Use","BA15 2DF","LEAVE BRADFORD ON AVON ON B3109 TO FROME. CROSS HUMP BACK BRIDGEOVER CANAL AND TURN IMMEDIATELY 1ST RIGHT UP JONES HILL. AFTER APPROX 1.3 MILES SEE TRACK ON RIGHT LABELLED `PUBLIC FOOTPATH FRESHFORD 1 - 1/4 MILES` THE PUMPIMG STATION IS APPROX 50 YARDS D","handfuls.stance.commenced","380439","159623","Waste"
"14450","COULSTON",".","Sewage Pumping Station","In Use","BA13 4PD","A360 DEVIZES TO WEST LAVINGTON ROAD, TURN RIGHT AT WEST LAVINGTON CROSSROADS, EDINGTON/WESTBURY ROAD B3098. FOLLOW THIS ROAD THROUGH TO ERLESTOKE VILLAGE. APPROX 1 MILE PAST VILLAGE TURN RIGHT SIGNPOSTED EAST COULSTON. 1 MILE TO FARM ON RIGHT, PAST FARM","seatbelt.shutting.ports","395070","154432","Waste"
"14451","WESTWOOD","LOWER WESTWOOD","Sewage Pumping Station","In Use","BA15 2AE","LEAVE BRADFORD ON AVON ON B3109 TO FROME. AFTER APPROX 1 MILE TURN RIGHT TO WESTWOOD AT THE CROSSROADS. PASS INTO THE 30 MPH SPEED LIMIT ZONE AND SEE PUMPING STATION AFTER 25 YARDS ON LEFT BY BY SMALL LAY-BY.","frock.inch.spring","381455","159043","Waste"
"14452","FRESHFORD","NEW INN","Sewage Pumping Station","In Use","BA2 7WG","THE SPS IS IN A FIELD BEHIND THE NEW INN PUB, NEXT TO THE PUB CARPARK.","learns.swim.gravy","379079","160000","Waste"
